shade_url,shade_id,shade_name,rgb,lrv,page_number,temperature,tone,finishes,colour_family,R,G,B
https://www.birlaopus.com/colour-catalogue/blue-wall-paint-colours/into-the-light,BB5000,Into the light,"(196, 200, 224)",59.7,130,Cool,Light,"Matte, Sheen, Gloss",Blues,196,200,224
https://www.birlaopus.com/colour-catalogue/blue-wall-paint-colours/little-lilac,BB5001,Little lilac,"(172, 184, 227)",50.4,130,Cool,Light,"Matte, Sheen, Gloss",Blues,172,184,227
https://www.birlaopus.com/colour-catalogue/blue-wall-paint-colours/cornflowers-are-blue,BB5002,Cornflowers are blue,"(164, 174, 226)",45.6,130,Cool,Midtone,"Matte, Sheen, Gloss",Blues,164,174,226
https://www.birlaopus.com/colour-catalogue/blue-wall-paint-colours/periwinkle-blue,BB5003,Periwinkle blue,"(117, 135, 199)",27.0,130,Cool,Midtone,"Matte, Sheen, Gloss",Blues,117,135,199
https://www.birlaopus.com/colour-catalogue/blue-wall-paint-colours/summer-in-leh,BB5004,Summer in Leh,"(92, 123, 189)",21.7,130,Cool,Midtone,"Matte, Sheen, Gloss",Blues,92,123,189
https://www.birlaopus.com/content/grasimsbirlaopusconsumerwebsite/in/en/colour-catalogue/blue-wall-paint-colours/summer-in-leh,BB5004,Summer in Leh,"(92, 123, 189)",21.7,130,Cool,Midtone,"Matte, Sheen, Gloss",Blues,92,123,189
https://www.birlaopus.com/colour-catalogue/blue-wall-paint-colours/petals-drink-moonlight,BB5005,Petals drink moonlight,"(89, 103, 173)",16.2,130,Cool,Dark,"Matte, Sheen, Gloss",Blues,89,103,173
https://www.birlaopus.com/colour-catalogue/blue-wall-paint-colours/kitchen-grapes,BB5006,Kitchen grapes,"(64, 75, 131)",8.5,130,Cool,Dark,"Matte, Sheen, Gloss",Blues,64,75,131
https://www.birlaopus.com/colour-catalogue/blue-wall-paint-colours/dark-violet-bouquet,BB5007,Dark violet bouquet,"(68, 76, 109)",7.9,130,Cool,Dark,"Matte, Sheen, Gloss",Blues,68,76,109
https://www.birlaopus.com/colour-catalogue/blue-wall-paint-colours/the-clouds-have-shapes,BB5008,The clouds have shapes,"(214, 220, 239)",73.2,131,Cool,Light,"Matte, Sheen, Gloss",Blues,214,220,239
